encoder,classificador,teste,batch,n_models,combination,fusion_method,value
PKLot,camera1,camera1,64,3,"(0, 1, 4)",mult,0.9144508670520232
PKLot,camera1,camera1,64,3,"(0, 1, 4)",vote,0.9099917423616846
PKLot,camera1,camera1,64,3,"(0, 1, 5)",sum,0.9179190751445087
PKLot,camera1,camera1,64,3,"(0, 1, 5)",mean_probs,0.9179190751445087
PKLot,camera1,camera1,64,3,"(0, 1, 5)",max,0.9190751445086706
PKLot,camera1,camera1,64,3,"(0, 1, 5)",mult,0.9180842279108175
PKLot,camera1,camera1,64,3,"(0, 1, 5)",vote,0.9212221304706854
PKLot,camera1,camera1,64,3,"(0, 1, 6)",sum,0.9162675474814204
PKLot,camera1,camera1,64,3,"(0, 1, 6)",mean_probs,0.9162675474814204
PKLot,camera1,camera1,64,3,"(0, 1, 6)",max,0.915606936416185
PKLot,camera1,camera1,64,3,"(0, 1, 6)",mult,0.9167630057803469
PKLot,camera1,camera1,64,3,"(0, 1, 6)",vote,0.9169281585466557
PKLot,camera1,camera1,64,3,"(0, 1, 7)",sum,0.935590421139554
PKLot,camera1,camera1,64,3,"(0, 1, 7)",mean_probs,0.935590421139554
PKLot,camera1,camera1,64,3,"(0, 1, 7)",max,0.9339388934764657
PKLot,camera1,camera1,64,3,"(0, 1, 7)",mult,0.9359207266721717
PKLot,camera1,camera1,64,3,"(0, 1, 7)",vote,0.9321222130470685
PKLot,camera1,camera1,64,3,"(0, 1, 8)",sum,0.9230388109000826
PKLot,camera1,camera1,64,3,"(0, 1, 8)",mean_probs,0.9230388109000826
PKLot,camera1,camera1,64,3,"(0, 1, 8)",max,0.924690338563171
PKLot,camera1,camera1,64,3,"(0, 1, 8)",mult,0.9243600330305533
PKLot,camera1,camera1,64,3,"(0, 1, 8)",vote,0.9210569777043766
PKLot,camera1,camera1,64,3,"(0, 1, 9)",sum,0.9042113955408753
PKLot,camera1,camera1,64,3,"(0, 1, 9)",mean_probs,0.9042113955408753
PKLot,camera1,camera1,64,3,"(0, 1, 9)",max,0.911643270024773
PKLot,camera1,camera1,64,3,"(0, 1, 9)",mult,0.9098265895953758
PKLot,camera1,camera1,64,3,"(0, 1, 9)",vote,0.8984310487200661
PKLot,camera1,camera1,64,3,"(0, 2, 3)",sum,0.9250206440957887
PKLot,camera1,camera1,64,3,"(0, 2, 3)",mean_probs,0.9250206440957887
PKLot,camera1,camera1,64,3,"(0, 2, 3)",max,0.924525185796862
PKLot,camera1,camera1,64,3,"(0, 2, 3)",mult,0.9253509496284062
PKLot,camera1,camera1,64,3,"(0, 2, 3)",vote,0.9258464079273327
PKLot,camera1,camera1,64,3,"(0, 2, 4)",sum,0.9253509496284062
PKLot,camera1,camera1,64,3,"(0, 2, 4)",mean_probs,0.9253509496284062
PKLot,camera1,camera1,64,3,"(0, 2, 4)",max,0.9230388109000826
PKLot,camera1,camera1,64,3,"(0, 2, 4)",mult,0.9255161023947152
PKLot,camera1,camera1,64,3,"(0, 2, 4)",vote,0.9278282411230389
PKLot,camera1,camera1,64,3,"(0, 2, 5)",sum,0.9294797687861271
PKLot,camera1,camera1,64,3,"(0, 2, 5)",mean_probs,0.9294797687861271
PKLot,camera1,camera1,64,3,"(0, 2, 5)",max,0.9271676300578034
PKLot,camera1,camera1,64,3,"(0, 2, 5)",mult,0.9294797687861271
PKLot,camera1,camera1,64,3,"(0, 2, 5)",vote,0.9294797687861271
PKLot,camera1,camera1,64,3,"(0, 2, 6)",sum,0.923534269199009
PKLot,camera1,camera1,64,3,"(0, 2, 6)",mean_probs,0.923534269199009
PKLot,camera1,camera1,64,3,"(0, 2, 6)",max,0.9243600330305533
PKLot,camera1,camera1,64,3,"(0, 2, 6)",mult,0.923534269199009
PKLot,camera1,camera1,64,3,"(0, 2, 6)",vote,0.922708505367465
PKLot,camera1,camera1,64,3,"(0, 2, 7)",sum,0.9380677126341866
PKLot,camera1,camera1,64,3,"(0, 2, 7)",mean_probs,0.9380677126341866
PKLot,camera1,camera1,64,3,"(0, 2, 7)",max,0.9370767960363336
PKLot,camera1,camera1,64,3,"(0, 2, 7)",mult,0.9382328654004954
PKLot,camera1,camera1,64,3,"(0, 2, 7)",vote,0.934599504541701
PKLot,camera1,camera1,64,3,"(0, 2, 8)",sum,0.9334434351775392
PKLot,camera1,camera1,64,3,"(0, 2, 8)",mean_probs,0.9334434351775392
PKLot,camera1,camera1,64,3,"(0, 2, 8)",max,0.932617671345995
