Fusao,Base do Autoencoder,Base de Treino,Base de Teste,Acuracia,Batch
SumFusion,PKLot,camera8,camera9,0.493,1024
SumFusion,PKLot,camera9,camera1,0.509,64
SumFusion,PKLot,camera9,camera1,0.507,128
SumFusion,PKLot,camera9,camera1,0.502,256
SumFusion,PKLot,camera9,camera1,0.502,512
SumFusion,PKLot,camera9,camera1,0.499,1024
SumFusion,PKLot,camera9,camera2,0.517,64
SumFusion,PKLot,camera9,camera2,0.51,128
SumFusion,PKLot,camera9,camera2,0.51,256
SumFusion,PKLot,camera9,camera2,0.506,512
SumFusion,PKLot,camera9,camera2,0.505,1024
SumFusion,PKLot,camera9,camera3,0.5,64
SumFusion,PKLot,camera9,camera3,0.502,128
SumFusion,PKLot,camera9,camera3,0.5,256
SumFusion,PKLot,camera9,camera3,0.5,512
SumFusion,PKLot,camera9,camera3,0.498,1024
SumFusion,PKLot,camera9,camera4,0.504,64
SumFusion,PKLot,camera9,camera4,0.505,128
SumFusion,PKLot,camera9,camera4,0.503,256
SumFusion,PKLot,camera9,camera4,0.502,512
SumFusion,PKLot,camera9,camera4,0.503,1024
SumFusion,PKLot,camera9,camera5,0.5,64
SumFusion,PKLot,camera9,camera5,0.5,128
SumFusion,PKLot,camera9,camera5,0.5,256
SumFusion,PKLot,camera9,camera5,0.5,512
SumFusion,PKLot,camera9,camera5,0.499,1024
SumFusion,PKLot,camera9,camera6,0.505,64
SumFusion,PKLot,camera9,camera6,0.507,128
SumFusion,PKLot,camera9,camera6,0.506,256
SumFusion,PKLot,camera9,camera6,0.506,512
SumFusion,PKLot,camera9,camera6,0.506,1024
SumFusion,PKLot,camera9,camera7,0.488,64
SumFusion,PKLot,camera9,camera7,0.489,128
SumFusion,PKLot,camera9,camera7,0.491,256
SumFusion,PKLot,camera9,camera7,0.491,512
SumFusion,PKLot,camera9,camera7,0.492,1024
SumFusion,PKLot,camera9,camera8,0.497,64
SumFusion,PKLot,camera9,camera8,0.499,128
SumFusion,PKLot,camera9,camera8,0.496,256
SumFusion,PKLot,camera9,camera8,0.497,512
SumFusion,PKLot,camera9,camera8,0.497,1024
SumFusion,PKLot,camera9,camera9,0.931,64
SumFusion,PKLot,camera9,camera9,0.925,128
